Date,Plant,MachineID,MachineType,Shift,Operator,ProductionUnits,DowntimeHours,Defects,MaintenanceEvent,PlannedProduction,UtilizationRate,DefectRate,PlantProductionCapacity,MachineAge,MachineAgeGroup,YearMonth,ProductionEfficiency,DowntimeImpact,DowntimeImpactUnits
2025-01-03,Plant C,M15,Packaging,Afternoon,Mila,220,1.5,5,No,280,0.8125,0.022727272727272728,3000,10,Old,2025-01,0.7857142857142857,0.2142857142857143,60
2025-01-03,Plant A,M01,Cutting,Night,Noah,239,1.3,6,No,303,0.8375,0.02510460251046025,6000,3,New,2025-01,0.7887788778877888,0.21122112211221122,64
2025-01-03,Plant A,M02,Cutting,Night,Chloe,250,1.0,7,No,297,0.875,0.028,6000,4,New,2025-01,0.8417508417508418,0.1582491582491582,47
2025-01-06,Plant C,M13,Assembly,Morning,Leo,218,0.6,3,No,239,0.925,0.013761467889908258,3000,5,Mid-life,2025-01,0.9121338912133892,0.08786610878661083,21
2025-01-06,Plant C,M14,Assembly,Morning,Zoe,207,0.9,3,No,232,0.8875,0.014492753623188406,3000,3,New,2025-01,0.8922413793103449,0.10775862068965514,25
2025-01-06,Plant C,M15,Packaging,Morning,Nina,259,0.9,4,No,296,0.8875,0.015444015444015444,3000,10,Old,2025-01,0.875,0.125,37
2025-01-06,Plant A,M01,Cutting,Morning,Liam,328,0.7,3,No,358,0.9125,0.009146341463414634,6000,3,New,2025-01,0.9162011173184358,0.08379888268156421,30
2025-01-06,Plant A,M02,Cutting,Afternoon,Ethan,272,0.8,4,No,313,0.9,0.014705882352941176,6000,4,New,2025-01,0.8690095846645367,0.1309904153354633,41
2025-01-06,Plant A,M03,Assembly,Afternoon,Camille,221,1.7,6,No,295,0.7875,0.027149321266968326,6000,11,Old,2025-01,0.7491525423728813,0.2508474576271187,74
2025-01-06,Plant A,M04,Packaging,Afternoon,Mia,291,1.2,7,No,344,0.85,0.024054982817869417,6000,5,Mid-life,2025-01,0.8459302325581395,0.15406976744186052,53
2025-01-06,Plant A,M05,Packaging,Night,Chloe,269,1.2,7,No,340,0.85,0.026022304832713755,6000,6,Mid-life,2025-01,0.7911764705882353,0.20882352941176474,71
2025-01-06,Plant B,M06,Cutting,Night,Lina,209,1.3,6,No,263,0.8375,0.028708133971291867,4200,7,Mid-life,2025-01,0.7946768060836502,0.2053231939163498,54
2025-01-06,Plant B,M07,Assembly,Night,James,163,2.4,6,No,245,0.7,0.03680981595092025,4200,12,Old,2025-01,0.6653061224489796,0.3346938775510204,82
2025-01-07,Plant A,M02,Cutting,Morning,Sofia,315,0.5,5,No,341,0.9375,0.015873015873015872,6000,4,New,2025-01,0.9237536656891495,0.07624633431085048,26
2025-01-07,Plant A,M03,Assembly,Morning,Hugo,257,1.5,5,No,323,0.8125,0.019455252918287938,6000,11,Old,2025-01,0.7956656346749226,0.20433436532507743,66
2025-01-07,Plant A,M04,Packaging,Morning,Liam,354,0.5,4,No,374,0.9375,0.011299435028248588,6000,5,Mid-life,2025-01,0.946524064171123,0.053475935828877,20
2025-01-07,Plant A,M05,Packaging,Morning,Sofia,379,0.5,5,No,406,0.9375,0.013192612137203167,6000,6,Mid-life,2025-01,0.9334975369458128,0.06650246305418717,27
2025-01-07,Plant B,M06,Cutting,Afternoon,Nathan,244,1.1,5,No,294,0.8625,0.020491803278688523,4200,7,Mid-life,2025-01,0.8299319727891157,0.17006802721088432,50
2025-01-07,Plant B,M07,Assembly,Afternoon,Ella,196,1.8,6,No,265,0.775,0.030612244897959183,4200,12,Old,2025-01,0.7396226415094339,0.2603773584905661,69
2025-01-07,Plant B,M08,Assembly,Afternoon,Mason,233,1.2,5,No,283,0.85,0.02145922746781116,4200,4,New,2025-01,0.823321554770318,0.176678445229682,50
2025-01-07,Plant B,M09,Packaging,Night,Lina,232,1.5,7,No,300,0.8125,0.03017241379310345,4200,8,Mid-life,2025-01,0.7733333333333333,0.22666666666666668,68
2025-01-07,Plant B,M10,Packaging,Night,James,229,1.8,6,No,309,0.775,0.026200873362445413,4200,6,Mid-life,2025-01,0.7411003236245954,0.25889967637540456,80
2025-01-08,Plant B,M06,Cutting,Morning,Emma,274,1.1,4,No,316,0.8625,0.014598540145985401,4200,7,Mid-life,2025-01,0.8670886075949367,0.13291139240506333,42
2025-01-08,Plant B,M07,Assembly,Morning,Ava,214,1.9,5,No,289,0.7625,0.02336448598130841,4200,12,Old,2025-01,0.740484429065744,0.25951557093425603,75
2025-01-08,Plant B,M08,Assembly,Morning,Lucas,272,0.7,4,No,303,0.9125,0.014705882352941176,4200,4,New,2025-01,0.8976897689768977,0.10231023102310233,31
2025-01-08,Plant B,M09,Packaging,Morning,Emma,300,1.0,4,No,348,0.875,0.013333333333333334,4200,8,Mid-life,2025-01,0.8620689655172413,0.13793103448275867,48
2025-01-08,Plant B,M10,Packaging,Afternoon,Ella,272,1.1,5,No,328,0.8625,0.01838235294117647,4200,6,Mid-life,2025-01,0.8292682926829268,0.1707317073170732,56
2025-01-08,Plant C,M11,Cutting,Afternoon,Aria,214,1.1,4,No,253,0.8625,0.018691588785046728,3000,2,New,2025-01,0.8458498023715415,0.1541501976284585,39
2025-01-08,Plant C,M12,Cutting,Afternoon,Mila,202,1.1,5,No,242,0.8625,0.024752475247524754,3000,9,Old,2025-01,0.8347107438016529,0.1652892561983471,40
2025-01-08,Plant C,M13,Assembly,Night,Jack,160,1.8,5,No,217,0.775,0.03125,3000,5,Mid-life,2025-01,0.7373271889400922,0.2626728110599078,57
2025-01-08,Plant C,M14,Assembly,Night,Mila,157,1.6,5,No,205,0.8,0.03184713375796178,3000,3,New,2025-01,0.7658536585365854,0.23414634146341462,48
2025-01-09,Plant B,M10,Packaging,Morning,Ava,329,0.8,6,No,360,0.9,0.0182370820668693,4200,6,Mid-life,2025-01,0.9138888888888889,0.08611111111111114,31
2025-01-09,Plant C,M11,Cutting,Morning,Zoe,238,0.7,3,No,270,0.9125,0.012605042016806723,3000,2,New,2025-01,0.8814814814814815,0.11851851851851847,32
2025-01-09,Plant C,M12,Cutting,Morning,Nina,221,1.0,3,No,259,0.875,0.013574660633484163,3000,9,Old,2025-01,0.8532818532818532,0.14671814671814676,38
2025-01-09,Plant C,M13,Assembly,Morning,Leo,209,0.8,3,No,239,0.9,0.014354066985645933,3000,5,Mid-life,2025-01,0.8744769874476988,0.12552301255230125,30
2025-01-09,Plant C,M14,Assembly,Afternoon,Aria,176,1.2,3,No,218,0.85,0.017045454545454544,3000,3,New,2025-01,0.8073394495412844,0.19266055045871555,42
2025-01-09,Plant C,M15,Packaging,Afternoon,Mila,248,1.0,6,No,296,0.875,0.024193548387096774,3000,10,Old,2025-01,0.8378378378378378,0.16216216216216217,48
2025-01-09,Plant A,M01,Cutting,Afternoon,Mia,304,0.8,6,No,350,0.9,0.019736842105263157,6000,3,New,2025-01,0.8685714285714285,0.13142857142857145,46
2025-01-09,Plant A,M02,Cutting,Night,Chloe,252,1.1,7,No,307,0.8625,0.027777777777777776,6000,4,New,2025-01,0.8208469055374593,0.17915309446254069,55
2025-01-09,Plant A,M03,Assembly,Night,Lucas,200,2.0,7,No,280,0.75,0.035,6000,11,Old,2025-01,0.7142857142857143,0.2857142857142857,80
2025-01-09,Plant A,M04,Packaging,Night,Noah,261,1.3,7,No,325,0.8375,0.02681992337164751,6000,5,Mid-life,2025-01,0.803076923076923,0.19692307692307698,64
2025-01-10,Plant C,M14,Assembly,Morning,Zoe,203,1.1,3,No,238,0.8625,0.014778325123152709,3000,3,New,2025-01,0.8529411764705882,0.1470588235294118,35
2025-01-10,Plant C,M15,Packaging,Morning,Nina,269,0.8,4,No,306,0.9,0.01486988847583643,3000,10,Old,2025-01,0.8790849673202614,0.12091503267973858,37
2025-01-10,Plant A,M01,Cutting,Morning,Liam,317,1.0,4,No,361,0.875,0.012618296529968454,6000,3,New,2025-01,0.8781163434903048,0.12188365650969524,44
2025-01-10,Plant A,M02,Cutting,Morning,Sofia,326,0.4,4,No,343,0.95,0.012269938650306749,6000,4,New,2025-01,0.9504373177842566,0.04956268221574345,17
2025-01-10,Plant A,M03,Assembly,Afternoon,Camille,244,1.4,6,No,301,0.825,0.02459016393442623,6000,11,Old,2025-01,0.8106312292358804,0.18936877076411962,57
2025-01-10,Plant A,M04,Packaging,Afternoon,Mia,295,1.0,5,No,346,0.875,0.01694915254237288,6000,5,Mid-life,2025-01,0.8526011560693642,0.14739884393063585,51
2025-01-10,Plant A,M05,Packaging,Afternoon,Ethan,315,1.0,6,No,372,0.875,0.01904761904761905,6000,6,Mid-life,2025-01,0.8467741935483871,0.15322580645161288,57
2025-01-10,Plant B,M06,Cutting,Night,Lina,235,0.9,7,No,278,0.8875,0.029787234042553193,4200,7,Mid-life,2025-01,0.8453237410071942,0.1546762589928058,43
2025-01-10,Plant B,M07,Assembly,Night,James,164,2.3,7,No,247,0.7125,0.042682926829268296,4200,12,Old,2025-01,0.6639676113360324,0.33603238866396756,83
2025-01-13,Plant A,M03,Assembly,Morning,Hugo,284,1.0,5,No,326,0.875,0.017605633802816902,6000,11,Old,2025-01,0.8711656441717791,0.1288343558282209,42
2025-01-13,Plant A,M04,Packaging,Morning,Liam,348,0.4,5,No,373,0.95,0.014367816091954023,6000,5,Mid-life,2025-01,0.9329758713136729,0.06702412868632712,25
2025-01-13,Plant A,M05,Packaging,Morning,Sofia,351,1.0,4,No,401,0.875,0.011396011396011397,6000,6,Mid-life,2025-01,0.8753117206982544,0.12468827930174564,50
2025-01-13,Plant B,M06,Cutting,Morning,Emma,287,0.8,4,No,321,0.9,0.013937282229965157,4200,7,Mid-life,2025-01,0.8940809968847352,0.10591900311526481,34
2025-01-13,Plant B,M07,Assembly,Afternoon,Ella,198,1.9,6,No,264,0.7625,0.030303030303030304,4200,12,Old,2025-01,0.75,0.25,66
2025-01-13,Plant B,M08,Assembly,Afternoon,Mason,234,1.1,5,No,276,0.8625,0.021367521367521368,4200,4,New,2025-01,0.8478260869565217,0.15217391304347827,42
2025-01-13,Plant B,M09,Packaging,Afternoon,Nathan,256,1.3,5,No,322,0.8375,0.01953125,4200,8,Mid-life,2025-01,0.7950310559006211,0.20496894409937894,66
2025-01-13,Plant B,M10,Packaging,Night,James,244,1.3,7,No,299,0.8375,0.028688524590163935,4200,6,Mid-life,2025-01,0.8160535117056856,0.18394648829431437,55
2025-01-13,Plant C,M11,Cutting,Night,Mila,182,1.3,5,No,228,0.8375,0.027472527472527472,3000,2,New,2025-01,0.7982456140350878,0.20175438596491224,46
2025-01-14,Plant B,M07,Assembly,Morning,Ava,226,1.7,6,No,287,0.7875,0.02654867256637168,4200,12,Old,2025-01,0.7874564459930313,0.21254355400696867,61
2025-01-14,Plant B,M08,Assembly,Morning,Lucas,258,0.8,4,No,291,0.9,0.015503875968992248,4200,4,New,2025-01,0.8865979381443299,0.11340206185567014,33
2025-01-14,Plant B,M09,Packaging,Morning,Emma,331,0.3,5,No,352,0.9625,0.015105740181268883,4200,8,Mid-life,2025-01,0.9403409090909091,0.05965909090909094,21
2025-01-14,Plant B,M10,Packaging,Morning,Ava,307,1.0,5,No,355,0.875,0.016286644951140065,4200,6,Mid-life,2025-01,0.8647887323943662,0.13521126760563384,48
2025-01-14,Plant C,M11,Cutting,Afternoon,Aria,205,1.4,5,No,253,0.825,0.024390243902439025,3000,2,New,2025-01,0.8102766798418972,0.18972332015810278,48
2025-01-14,Plant C,M12,Cutting,Afternoon,Mila,194,1.3,4,No,242,0.8375,0.020618556701030927,3000,9,Old,2025-01,0.8016528925619835,0.19834710743801653,48
2025-01-14,Plant C,M13,Assembly,Afternoon,Owen,190,1.3,4,No,231,0.8375,0.021052631578947368,3000,5,Mid-life,2025-01,0.8225108225108225,0.17748917748917747,41
2025-01-14,Plant C,M14,Assembly,Night,Mila,148,1.9,4,No,205,0.7625,0.02702702702702703,3000,3,New,2025-01,0.7219512195121951,0.2780487804878049,57
2025-01-14,Plant C,M15,Packaging,Night,Sami,202,1.7,7,No,268,0.7875,0.034653465346534656,3000,10,Old,2025-01,0.753731343283582,0.24626865671641796,66
2025-01-14,Plant A,M01,Cutting,Night,Noah,248,1.5,8,No,318,0.8125,0.03225806451612903,6000,3,New,2025-01,0.779874213836478,0.22012578616352196,70
2025-01-15,Plant C,M11,Cutting,Morning,Zoe,264,0.4,4,No,277,0.95,0.015151515151515152,3000,2,New,2025-01,0.9530685920577617,0.04693140794223827,13
2025-01-15,Plant C,M12,Cutting,Morning,Nina,219,1.1,3,No,263,0.8625,0.0136986301369863,3000,9,Old,2025-01,0.8326996197718631,0.16730038022813687,44
2025-01-15,Plant C,M13,Assembly,Morning,Leo,222,0.7,4,No,246,0.9125,0.018018018018018018,3000,5,Mid-life,2025-01,0.9024390243902439,0.09756097560975607,24
2025-01-15,Plant C,M14,Assembly,Morning,Zoe,215,0.6,3,No,243,0.925,0.013953488372093023,3000,3,New,2025-01,0.8847736625514403,0.1152263374485597,28
2025-01-15,Plant C,M15,Packaging,Afternoon,Mila,238,1.3,5,No,290,0.8375,0.02100840336134454,3000,10,Old,2025-01,0.8206896551724138,0.17931034482758623,52
2025-01-15,Plant A,M01,Cutting,Afternoon,Mia,292,1.1,5,No,347,0.8625,0.017123287671232876,6000,3,New,2025-01,0.8414985590778098,0.1585014409221902,55
2025-01-15,Plant A,M02,Cutting,Afternoon,Ethan,278,1.1,5,No,329,0.8625,0.017985611510791366,6000,4,New,2025-01,0.8449848024316109,0.1550151975683891,51
2025-01-15,Plant A,M03,Assembly,Night,Lucas,204,2.0,7,No,285,0.75,0.03431372549019608,6000,11,Old,2025-01,0.7157894736842105,0.28421052631578947,81
2025-01-15,Plant A,M04,Packaging,Night,Noah,262,1.1,6,No,324,0.8625,0.022900763358778626,6000,5,Mid-life,2025-01,0.808641975308642,0.191358024691358,62
2025-01-16,Plant C,M15,Packaging,Morning,Nina,265,1.0,4,No,308,0.875,0.01509433962264151,3000,10,Old,2025-01,0.8603896103896104,0.13961038961038963,43
2025-01-16,Plant A,M01,Cutting,Morning,Liam,324,0.9,5,No,371,0.8875,0.015432098765432098,6000,3,New,2025-01,0.8733153638814016,0.12668463611859837,47
2025-01-16,Plant A,M02,Cutting,Morning,Sofia,323,0.5,3,No,352,0.9375,0.009287925696594427,6000,4,New,2025-01,0.9176136363636364,0.08238636363636365,29
2025-01-16,Plant A,M03,Assembly,Morning,Hugo,269,1.3,6,No,323,0.8375,0.022304832713754646,6000,11,Old,2025-01,0.8328173374613003,0.16718266253869973,54
2025-01-16,Plant A,M04,Packaging,Afternoon,Mia,289,1.1,5,No,350,0.8625,0.01730103806228374,6000,5,Mid-life,2025-01,0.8257142857142857,0.17428571428571427,61
2025-01-16,Plant A,M05,Packaging,Afternoon,Ethan,339,0.7,6,No,379,0.9125,0.017699115044247787,6000,6,Mid-life,2025-01,0.8944591029023746,0.10554089709762537,40
2025-01-16,Plant B,M06,Cutting,Afternoon,Nathan,253,0.9,5,No,296,0.8875,0.019762845849802372,4200,7,Mid-life,2025-01,0.8547297297297297,0.14527027027027029,43
2025-01-16,Plant B,M07,Assembly,Night,James,167,2.4,7,No,249,0.7,0.041916167664670656,4200,12,Old,2025-01,0.6706827309236948,0.3293172690763052,82
2025-01-16,Plant B,M08,Assembly,Night,Harper,211,1.2,6,No,257,0.85,0.02843601895734597,4200,4,New,2025-01,0.8210116731517509,0.17898832684824906,46
2025-01-17,Plant A,M04,Packaging,Morning,Liam,344,0.7,4,No,383,0.9125,0.011627906976744186,6000,5,Mid-life,2025-01,0.8981723237597912,0.10182767624020883,39
2025-01-17,Plant A,M05,Packaging,Morning,Sofia,350,1.1,4,No,412,0.8625,0.011428571428571429,6000,6,Mid-life,2025-01,0.8495145631067961,0.15048543689320393,62
2025-01-17,Plant B,M06,Cutting,Morning,Emma,295,0.6,4,No,322,0.925,0.013559322033898305,4200,7,Mid-life,2025-01,0.9161490683229814,0.08385093167701863,27
2025-01-17,Plant B,M07,Assembly,Morning,Ava,227,1.5,5,No,289,0.8125,0.022026431718061675,4200,12,Old,2025-01,0.7854671280276817,0.2145328719723183,62
2025-01-17,Plant B,M08,Assembly,Afternoon,Mason,228,1.1,5,No,273,0.8625,0.021929824561403508,4200,4,New,2025-01,0.8351648351648352,0.1648351648351648,45
2025-01-17,Plant B,M09,Packaging,Afternoon,Nathan,276,1.0,5,No,324,0.875,0.018115942028985508,4200,8,Mid-life,2025-01,0.8518518518518519,0.14814814814814814,48
2025-01-17,Plant B,M10,Packaging,Afternoon,Ella,276,1.2,6,No,332,0.85,0.021739130434782608,4200,6,Mid-life,2025-01,0.8313253012048193,0.1686746987951807,56
2025-01-17,Plant C,M11,Cutting,Night,Mila,191,1.3,6,No,239,0.8375,0.031413612565445025,3000,2,New,2025-01,0.799163179916318,0.20083682008368198,48
2025-01-17,Plant C,M12,Cutting,Night,Sami,164,1.8,5,No,222,0.775,0.03048780487804878,3000,9,Old,2025-01,0.7387387387387387,0.26126126126126126,58
2025-01-20,Plant B,M08,Assembly,Morning,Lucas,263,0.7,4,No,295,0.9125,0.015209125475285171,4200,4,New,2025-01,0.8915254237288136,0.1084745762711864,32
2025-01-20,Plant B,M09,Packaging,Morning,Emma,298,0.9,4,No,336,0.8875,0.013422818791946308,4200,8,Mid-life,2025-01,0.8869047619047619,0.11309523809523814,38
2025-01-20,Plant B,M10,Packaging,Morning,Ava,313,0.8,5,No,354,0.9,0.01597444089456869,4200,6,Mid-life,2025-01,0.884180790960452,0.11581920903954801,41
2025-01-20,Plant C,M11,Cutting,Morning,Zoe,231,0.7,3,No,263,0.9125,0.012987012987012988,3000,2,New,2025-01,0.8783269961977186,0.12167300380228141,32
2025-01-20,Plant C,M12,Cutting,Afternoon,Mila,192,1.4,4,No,242,0.825,0.020833333333333332,3000,9,Old,2025-01,0.7933884297520661,0.20661157024793386,50
2025-01-20,Plant C,M13,Assembly,Afternoon,Owen,183,1.2,4,No,216,0.85,0.02185792349726776,3000,5,Mid-life,2025-01,0.8472222222222222,0.1527777777777778,33
2025-01-20,Plant C,M14,Assembly,Afternoon,Aria,170,1.4,4,No,216,0.825,0.023529411764705882,3000,3,New,2025-01,0.7870370370370371,0.2129629629629629,46
2025-01-20,Plant C,M15,Packaging,Night,Sami,206,1.5,6,No,263,0.8125,0.02912621359223301,3000,10,Old,2025-01,0.7832699619771863,0.21673003802281365,57
2025-01-20,Plant A,M01,Cutting,Night,Noah,256,1.2,7,No,312,0.85,0.02734375,6000,3,New,2025-01,0.8205128205128205,0.17948717948717952,56
2025-01-20,Plant A,M02,Cutting,Night,Chloe,245,1.1,6,No,293,0.8625,0.024489795918367346,6000,4,New,2025-01,0.8361774744027304,0.16382252559726962,48
2025-01-21,Plant C,M12,Cutting,Morning,Nina,243,0.7,4,No,266,0.9125,0.01646090534979424,3000,9,Old,2025-01,0.9135338345864662,0.0864661654135338,23
2025-01-21,Plant C,M13,Assembly,Morning,Leo,209,1.2,3,No,251,0.85,0.014354066985645933,3000,5,Mid-life,2025-01,0.8326693227091634,0.16733067729083662,42
2025-01-21,Plant C,M14,Assembly,Morning,Zoe,201,1.0,3,No,238,0.875,0.014925373134328358,3000,3,New,2025-01,0.8445378151260504,0.15546218487394958,37
2025-01-21,Plant C,M15,Packaging,Morning,Nina,255,1.1,4,No,309,0.8625,0.01568627450980392,3000,10,Old,2025-01,0.8252427184466019,0.1747572815533981,54
2025-01-21,Plant A,M01,Cutting,Afternoon,Mia,289,0.9,5,No,335,0.8875,0.01730103806228374,6000,3,New,2025-01,0.8626865671641791,0.13731343283582087,46
2025-01-21,Plant A,M02,Cutting,Afternoon,Ethan,277,1.0,5,No,326,0.875,0.018050541516245487,6000,4,New,2025-01,0.8496932515337423,0.1503067484662577,49
2025-01-21,Plant A,M03,Assembly,Afternoon,Camille,227,1.9,6,No,306,0.7625,0.02643171806167401,6000,11,Old,2025-01,0.7418300653594772,0.25816993464052285,79
2025-01-21,Plant A,M04,Packaging,Night,Noah,244,1.8,7,No,330,0.775,0.028688524590163935,6000,5,Mid-life,2025-01,0.7393939393939394,0.2606060606060606,86
2025-01-21,Plant A,M05,Packaging,Night,Chloe,282,1.1,7,No,348,0.8625,0.024822695035460994,6000,6,Mid-life,2025-01,0.8103448275862069,0.18965517241379315,66
2025-01-22,Plant A,M01,Cutting,Morning,Liam,333,0.7,4,No,370,0.9125,0.012012012012012012,6000,3,New,2025-01,0.9,0.09999999999999998,37
2025-01-22,Plant A,M02,Cutting,Morning,Sofia,318,0.8,4,No,359,0.9,0.012578616352201259,6000,4,New,2025-01,0.8857938718662952,0.11420612813370479,41
2025-01-22,Plant A,M03,Assembly,Morning,Hugo,264,1.4,5,No,331,0.825,0.01893939393939394,6000,11,Old,2025-01,0.797583081570997,0.202416918429003,67
2025-01-22,Plant A,M04,Packaging,Morning,Liam,358,0.5,4,No,387,0.9375,0.0111731843575419,6000,5,Mid-life,2025-01,0.9250645994832042,0.07493540051679581,29
2025-01-22,Plant A,M05,Packaging,Afternoon,Ethan,314,1.3,6,No,388,0.8375,0.01910828025477707,6000,6,Mid-life,2025-01,0.8092783505154639,0.19072164948453607,74
2025-01-22,Plant B,M06,Cutting,Afternoon,Nathan,250,0.9,5,No,292,0.8875,0.02,4200,7,Mid-life,2025-01,0.8561643835616438,0.14383561643835618,42
2025-01-22,Plant B,M07,Assembly,Afternoon,Ella,185,2.4,6,No,276,0.7,0.032432432432432434,4200,12,Old,2025-01,0.6702898550724637,0.32971014492753625,91
2025-01-22,Plant B,M08,Assembly,Night,Harper,191,1.8,6,No,262,0.775,0.031413612565445025,4200,4,New,2025-01,0.7290076335877863,0.2709923664122137,71
2025-01-22,Plant B,M09,Packaging,Night,Lina,250,1.1,7,No,308,0.8625,0.028,4200,8,Mid-life,2025-01,0.8116883116883117,0.18831168831168832,58
2025-01-23,Plant A,M05,Packaging,Morning,Sofia,360,0.8,3,No,405,0.9,0.008333333333333333,6000,6,Mid-life,2025-01,0.8888888888888888,0.11111111111111116,45
2025-01-23,Plant B,M06,Cutting,Morning,Emma,299,0.6,4,No,323,0.925,0.013377926421404682,4200,7,Mid-life,2025-01,0.9256965944272446,0.07430340557275539,24
2025-01-23,Plant B,M07,Assembly,Morning,Ava,225,1.7,6,No,287,0.7875,0.02666666666666667,4200,12,Old,2025-01,0.7839721254355401,0.21602787456445993,62
2025-01-23,Plant B,M08,Assembly,Morning,Lucas,253,0.9,4,No,293,0.8875,0.015810276679841896,4200,4,New,2025-01,0.863481228668942,0.13651877133105805,40
2025-01-23,Plant B,M09,Packaging,Afternoon,Nathan,258,1.2,5,No,316,0.85,0.01937984496124031,4200,8,Mid-life,2025-01,0.8164556962025317,0.18354430379746833,58
2025-01-23,Plant B,M10,Packaging,Afternoon,Ella,277,1.2,6,No,339,0.85,0.021660649819494584,4200,6,Mid-life,2025-01,0.8171091445427728,0.18289085545722716,62
2025-01-23,Plant C,M11,Cutting,Afternoon,Aria,210,1.2,4,No,254,0.85,0.01904761904761905,3000,2,New,2025-01,0.8267716535433071,0.17322834645669294,44
