Date,Plant,MachineID,MachineType,Shift,Operator,ProductionUnits,DowntimeHours,Defects,MaintenanceEvent,PlannedProduction,UtilizationRate,DefectRate,PlantProductionCapacity,MachineAge,MachineAgeGroup,YearMonth
2025-01-14,Plant B,M10,Packaging,Morning,Ava,307,1.0,5,No,355,0.875,0.016286644951140065,4200,6,Mid-life,
2025-01-14,Plant C,M11,Cutting,Afternoon,Aria,205,1.4,5,No,253,0.825,0.024390243902439025,3000,2,New,
2025-01-14,Plant C,M12,Cutting,Afternoon,Mila,194,1.3,4,No,242,0.8375,0.020618556701030927,3000,9,Old,
2025-01-14,Plant C,M13,Assembly,Afternoon,Owen,190,1.3,4,No,231,0.8375,0.021052631578947368,3000,5,Mid-life,
2025-01-14,Plant C,M14,Assembly,Night,Mila,148,1.9,4,No,205,0.7625,0.02702702702702703,3000,3,New,
2025-01-14,Plant C,M15,Packaging,Night,Sami,202,1.7,7,No,268,0.7875,0.034653465346534656,3000,10,Old,
2025-01-14,Plant A,M01,Cutting,Night,Noah,248,1.5,8,No,318,0.8125,0.03225806451612903,6000,3,New,
2025-01-15,Plant C,M11,Cutting,Morning,Zoe,264,0.4,4,No,277,0.95,0.015151515151515152,3000,2,New,
2025-01-15,Plant C,M12,Cutting,Morning,Nina,219,1.1,3,No,263,0.8625,0.0136986301369863,3000,9,Old,
2025-01-15,Plant C,M13,Assembly,Morning,Leo,222,0.7,4,No,246,0.9125,0.018018018018018018,3000,5,Mid-life,
2025-01-15,Plant C,M14,Assembly,Morning,Zoe,215,0.6,3,No,243,0.925,0.013953488372093023,3000,3,New,
2025-01-15,Plant C,M15,Packaging,Afternoon,Mila,238,1.3,5,No,290,0.8375,0.02100840336134454,3000,10,Old,
2025-01-15,Plant A,M01,Cutting,Afternoon,Mia,292,1.1,5,No,347,0.8625,0.017123287671232876,6000,3,New,
2025-01-15,Plant A,M02,Cutting,Afternoon,Ethan,278,1.1,5,No,329,0.8625,0.017985611510791366,6000,4,New,
2025-01-15,Plant A,M03,Assembly,Night,Lucas,204,2.0,7,No,285,0.75,0.03431372549019608,6000,11,Old,
2025-01-15,Plant A,M04,Packaging,Night,Noah,262,1.1,6,No,324,0.8625,0.022900763358778626,6000,5,Mid-life,
2025-01-16,Plant C,M15,Packaging,Morning,Nina,265,1.0,4,No,308,0.875,0.01509433962264151,3000,10,Old,
2025-01-16,Plant A,M01,Cutting,Morning,Liam,324,0.9,5,No,371,0.8875,0.015432098765432098,6000,3,New,
2025-01-16,Plant A,M02,Cutting,Morning,Sofia,323,0.5,3,No,352,0.9375,0.009287925696594427,6000,4,New,
2025-01-16,Plant A,M03,Assembly,Morning,Hugo,269,1.3,6,No,323,0.8375,0.022304832713754646,6000,11,Old,
2025-01-16,Plant A,M04,Packaging,Afternoon,Mia,289,1.1,5,No,350,0.8625,0.01730103806228374,6000,5,Mid-life,
2025-01-16,Plant A,M05,Packaging,Afternoon,Ethan,339,0.7,6,No,379,0.9125,0.017699115044247787,6000,6,Mid-life,
2025-01-16,Plant B,M06,Cutting,Afternoon,Nathan,253,0.9,5,No,296,0.8875,0.019762845849802372,4200,7,Mid-life,
2025-01-16,Plant B,M07,Assembly,Night,James,167,2.4,7,No,249,0.7,0.041916167664670656,4200,12,Old,
2025-01-16,Plant B,M08,Assembly,Night,Harper,211,1.2,6,No,257,0.85,0.02843601895734597,4200,4,New,
2025-01-17,Plant A,M04,Packaging,Morning,Liam,344,0.7,4,No,383,0.9125,0.011627906976744186,6000,5,Mid-life,
2025-01-17,Plant A,M05,Packaging,Morning,Sofia,350,1.1,4,No,412,0.8625,0.011428571428571429,6000,6,Mid-life,
2025-01-17,Plant B,M06,Cutting,Morning,Emma,295,0.6,4,No,322,0.925,0.013559322033898305,4200,7,Mid-life,
2025-01-17,Plant B,M07,Assembly,Morning,Ava,227,1.5,5,No,289,0.8125,0.022026431718061675,4200,12,Old,
2025-01-17,Plant B,M08,Assembly,Afternoon,Mason,228,1.1,5,No,273,0.8625,0.021929824561403508,4200,4,New,
2025-01-17,Plant B,M09,Packaging,Afternoon,Nathan,276,1.0,5,No,324,0.875,0.018115942028985508,4200,8,Mid-life,
2025-01-17,Plant B,M10,Packaging,Afternoon,Ella,276,1.2,6,No,332,0.85,0.021739130434782608,4200,6,Mid-life,
2025-01-17,Plant C,M11,Cutting,Night,Mila,191,1.3,6,No,239,0.8375,0.031413612565445025,3000,2,New,
2025-01-17,Plant C,M12,Cutting,Night,Sami,164,1.8,5,No,222,0.775,0.03048780487804878,3000,9,Old,
2025-01-20,Plant B,M08,Assembly,Morning,Lucas,263,0.7,4,No,295,0.9125,0.015209125475285171,4200,4,New,
2025-01-20,Plant B,M09,Packaging,Morning,Emma,298,0.9,4,No,336,0.8875,0.013422818791946308,4200,8,Mid-life,
2025-01-20,Plant B,M10,Packaging,Morning,Ava,313,0.8,5,No,354,0.9,0.01597444089456869,4200,6,Mid-life,
2025-01-20,Plant C,M11,Cutting,Morning,Zoe,231,0.7,3,No,263,0.9125,0.012987012987012988,3000,2,New,
2025-01-20,Plant C,M12,Cutting,Afternoon,Mila,192,1.4,4,No,242,0.825,0.020833333333333332,3000,9,Old,
2025-01-20,Plant C,M13,Assembly,Afternoon,Owen,183,1.2,4,No,216,0.85,0.02185792349726776,3000,5,Mid-life,
2025-01-20,Plant C,M14,Assembly,Afternoon,Aria,170,1.4,4,No,216,0.825,0.023529411764705882,3000,3,New,
2025-01-20,Plant C,M15,Packaging,Night,Sami,206,1.5,6,No,263,0.8125,0.02912621359223301,3000,10,Old,
2025-01-20,Plant A,M01,Cutting,Night,Noah,256,1.2,7,No,312,0.85,0.02734375,6000,3,New,
2025-01-20,Plant A,M02,Cutting,Night,Chloe,245,1.1,6,No,293,0.8625,0.024489795918367346,6000,4,New,
2025-01-21,Plant C,M12,Cutting,Morning,Nina,243,0.7,4,No,266,0.9125,0.01646090534979424,3000,9,Old,
2025-01-21,Plant C,M13,Assembly,Morning,Leo,209,1.2,3,No,251,0.85,0.014354066985645933,3000,5,Mid-life,
2025-01-21,Plant C,M14,Assembly,Morning,Zoe,201,1.0,3,No,238,0.875,0.014925373134328358,3000,3,New,
2025-01-21,Plant C,M15,Packaging,Morning,Nina,255,1.1,4,No,309,0.8625,0.01568627450980392,3000,10,Old,
2025-01-21,Plant A,M01,Cutting,Afternoon,Mia,289,0.9,5,No,335,0.8875,0.01730103806228374,6000,3,New,
2025-01-21,Plant A,M02,Cutting,Afternoon,Ethan,277,1.0,5,No,326,0.875,0.018050541516245487,6000,4,New,
2025-01-21,Plant A,M03,Assembly,Afternoon,Camille,227,1.9,6,No,306,0.7625,0.02643171806167401,6000,11,Old,
2025-01-21,Plant A,M04,Packaging,Night,Noah,244,1.8,7,No,330,0.775,0.028688524590163935,6000,5,Mid-life,
2025-01-21,Plant A,M05,Packaging,Night,Chloe,282,1.1,7,No,348,0.8625,0.024822695035460994,6000,6,Mid-life,
2025-01-22,Plant A,M01,Cutting,Morning,Liam,333,0.7,4,No,370,0.9125,0.012012012012012012,6000,3,New,
2025-01-22,Plant A,M02,Cutting,Morning,Sofia,318,0.8,4,No,359,0.9,0.012578616352201259,6000,4,New,
2025-01-22,Plant A,M03,Assembly,Morning,Hugo,264,1.4,5,No,331,0.825,0.01893939393939394,6000,11,Old,
2025-01-22,Plant A,M04,Packaging,Morning,Liam,358,0.5,4,No,387,0.9375,0.0111731843575419,6000,5,Mid-life,
2025-01-22,Plant A,M05,Packaging,Afternoon,Ethan,314,1.3,6,No,388,0.8375,0.01910828025477707,6000,6,Mid-life,
2025-01-22,Plant B,M06,Cutting,Afternoon,Nathan,250,0.9,5,No,292,0.8875,0.02,4200,7,Mid-life,
2025-01-22,Plant B,M07,Assembly,Afternoon,Ella,185,2.4,6,No,276,0.7,0.032432432432432434,4200,12,Old,
2025-01-22,Plant B,M08,Assembly,Night,Harper,191,1.8,6,No,262,0.775,0.031413612565445025,4200,4,New,
2025-01-22,Plant B,M09,Packaging,Night,Lina,250,1.1,7,No,308,0.8625,0.028,4200,8,Mid-life,
2025-01-23,Plant A,M05,Packaging,Morning,Sofia,360,0.8,3,No,405,0.9,0.008333333333333333,6000,6,Mid-life,
2025-01-23,Plant B,M06,Cutting,Morning,Emma,299,0.6,4,No,323,0.925,0.013377926421404682,4200,7,Mid-life,
2025-01-23,Plant B,M07,Assembly,Morning,Ava,225,1.7,6,No,287,0.7875,0.02666666666666667,4200,12,Old,
2025-01-23,Plant B,M08,Assembly,Morning,Lucas,253,0.9,4,No,293,0.8875,0.015810276679841896,4200,4,New,
2025-01-23,Plant B,M09,Packaging,Afternoon,Nathan,258,1.2,5,No,316,0.85,0.01937984496124031,4200,8,Mid-life,
2025-01-23,Plant B,M10,Packaging,Afternoon,Ella,277,1.2,6,No,339,0.85,0.021660649819494584,4200,6,Mid-life,
2025-01-23,Plant C,M11,Cutting,Afternoon,Aria,210,1.2,4,No,254,0.85,0.01904761904761905,3000,2,New,
2025-01-23,Plant C,M12,Cutting,Night,Sami,176,1.4,6,No,225,0.825,0.03409090909090909,3000,9,Old,
2025-01-23,Plant C,M13,Assembly,Night,Jack,176,1.1,6,No,210,0.8625,0.03409090909090909,3000,5,Mid-life,
2025-01-23,Plant C,M14,Assembly,Night,Mila,165,1.2,5,No,204,0.85,0.030303030303030304,3000,3,New,
2025-01-24,Plant B,M09,Packaging,Morning,Emma,317,0.5,5,No,341,0.9375,0.015772870662460567,4200,8,Mid-life,
2025-01-24,Plant B,M10,Packaging,Morning,Ava,315,0.9,4,No,351,0.8875,0.012698412698412698,4200,6,Mid-life,
2025-01-24,Plant C,M11,Cutting,Morning,Zoe,241,0.8,3,No,270,0.9,0.012448132780082987,3000,2,New,
2025-01-24,Plant C,M12,Cutting,Morning,Nina,236,0.7,3,No,257,0.9125,0.012711864406779662,3000,9,Old,
2025-01-24,Plant C,M13,Assembly,Afternoon,Owen,202,1.0,4,No,236,0.875,0.019801980198019802,3000,5,Mid-life,
2025-01-24,Plant C,M14,Assembly,Afternoon,Aria,178,1.3,4,No,216,0.8375,0.02247191011235955,3000,3,New,
2025-01-24,Plant C,M15,Packaging,Afternoon,Mila,227,1.2,5,No,279,0.85,0.022026431718061675,3000,10,Old,
2025-01-24,Plant A,M01,Cutting,Night,Noah,255,1.0,7,No,311,0.875,0.027450980392156862,6000,3,New,
2025-01-24,Plant A,M02,Cutting,Night,Chloe,257,0.8,7,No,296,0.9,0.027237354085603113,6000,4,New,
2025-01-27,Plant C,M13,Assembly,Morning,Leo,222,0.6,3,No,241,0.925,0.013513513513513514,3000,5,Mid-life,
2025-01-27,Plant C,M14,Assembly,Morning,Zoe,213,0.9,3,No,243,0.8875,0.014084507042253521,3000,3,New,
2025-01-27,Plant C,M15,Packaging,Morning,Nina,268,1.0,4,No,306,0.875,0.014925373134328358,3000,10,Old,
2025-01-27,Plant A,M01,Cutting,Morning,Liam,332,0.5,5,No,356,0.9375,0.015060240963855422,6000,3,New,
2025-01-27,Plant A,M02,Cutting,Afternoon,Ethan,274,0.9,5,No,317,0.8875,0.01824817518248175,6000,4,New,
2025-01-27,Plant A,M03,Assembly,Afternoon,Camille,241,1.3,6,No,300,0.8375,0.024896265560165973,6000,11,Old,
2025-01-27,Plant A,M04,Packaging,Afternoon,Mia,287,0.9,5,No,337,0.8875,0.017421602787456445,6000,5,Mid-life,
2025-01-27,Plant A,M05,Packaging,Night,Chloe,273,1.3,7,No,346,0.8375,0.02564102564102564,6000,6,Mid-life,
2025-01-27,Plant B,M06,Cutting,Night,Lina,219,1.2,6,No,273,0.85,0.0273972602739726,4200,7,Mid-life,
2025-01-28,Plant A,M02,Cutting,Morning,Sofia,313,0.7,4,No,348,0.9125,0.012779552715654952,6000,4,New,
2025-01-28,Plant A,M03,Assembly,Morning,Hugo,263,1.3,5,No,320,0.8375,0.019011406844106463,6000,11,Old,
2025-01-28,Plant A,M04,Packaging,Morning,Liam,329,0.8,3,No,373,0.9,0.00911854103343465,6000,5,Mid-life,
2025-01-28,Plant A,M05,Packaging,Morning,Sofia,343,0.9,3,No,404,0.8875,0.008746355685131196,6000,6,Mid-life,
2025-01-28,Plant B,M06,Cutting,Afternoon,Nathan,235,1.4,5,No,293,0.825,0.02127659574468085,4200,7,Mid-life,
2025-01-28,Plant B,M07,Assembly,Afternoon,Ella,200,1.8,6,No,264,0.775,0.03,4200,12,Old,
2025-01-28,Plant B,M08,Assembly,Afternoon,Mason,235,1.1,5,No,280,0.8625,0.02127659574468085,4200,4,New,
2025-01-28,Plant B,M09,Packaging,Night,Lina,224,1.6,6,No,299,0.8,0.026785714285714284,4200,8,Mid-life,
2025-01-28,Plant B,M10,Packaging,Night,James,232,1.7,6,No,313,0.7875,0.02586206896551724,4200,6,Mid-life,
2025-01-28,Plant C,M11,Cutting,Night,Mila,181,1.7,6,No,235,0.7875,0.03314917127071823,3000,2,New,
2025-01-29,Plant B,M06,Cutting,Morning,Emma,296,0.5,4,No,320,0.9375,0.013513513513513514,4200,7,Mid-life,
2025-01-29,Plant B,M07,Assembly,Morning,Ava,216,2.0,6,No,286,0.75,0.027777777777777776,4200,12,Old,
2025-01-29,Plant B,M08,Assembly,Morning,Lucas,258,1.0,4,No,297,0.875,0.015503875968992248,4200,4,New,
2025-01-29,Plant B,M09,Packaging,Morning,Emma,310,0.9,5,No,351,0.8875,0.016129032258064516,4200,8,Mid-life,
2025-01-29,Plant B,M10,Packaging,Afternoon,Ella,295,0.8,6,No,338,0.9,0.020338983050847456,4200,6,Mid-life,
2025-01-29,Plant C,M11,Cutting,Afternoon,Aria,202,1.5,5,No,251,0.8125,0.024752475247524754,3000,2,New,
2025-01-29,Plant C,M12,Cutting,Afternoon,Mila,192,1.5,4,No,243,0.8125,0.020833333333333332,3000,9,Old,
2025-01-29,Plant C,M13,Assembly,Night,Jack,161,1.6,5,No,210,0.8,0.031055900621118012,3000,5,Mid-life,
2025-01-29,Plant C,M14,Assembly,Night,Mila,163,1.5,5,No,206,0.8125,0.03067484662576687,3000,3,New,
2025-01-30,Plant B,M10,Packaging,Morning,Ava,317,0.8,4,No,357,0.9,0.012618296529968454,4200,6,Mid-life,
2025-01-30,Plant C,M11,Cutting,Morning,Zoe,235,0.8,3,No,267,0.9,0.01276595744680851,3000,2,New,
2025-01-30,Plant C,M12,Cutting,Morning,Nina,221,0.9,3,No,259,0.8875,0.013574660633484163,3000,9,Old,
2025-01-30,Plant C,M13,Assembly,Morning,Leo,215,1.1,3,No,250,0.8625,0.013953488372093023,3000,5,Mid-life,
2025-01-30,Plant C,M14,Assembly,Afternoon,Aria,185,1.0,4,No,217,0.875,0.021621621621621623,3000,3,New,
2025-01-30,Plant C,M15,Packaging,Afternoon,Mila,232,1.4,5,No,291,0.825,0.021551724137931036,3000,10,Old,
2025-01-30,Plant A,M01,Cutting,Afternoon,Mia,280,1.1,5,No,336,0.8625,0.017857142857142856,6000,3,New,
2025-01-30,Plant A,M02,Cutting,Night,Chloe,242,1.2,7,No,300,0.85,0.028925619834710745,6000,4,New,
2025-01-30,Plant A,M03,Assembly,Night,Lucas,194,2.1,7,No,275,0.7375,0.03608247422680412,6000,11,Old,
2025-01-31,Plant C,M14,Assembly,Morning,Zoe,193,1.1,2,No,231,0.8625,0.010362694300518135,3000,3,New,
2025-01-31,Plant C,M15,Packaging,Morning,Nina,262,0.8,4,No,295,0.9,0.015267175572519083,3000,10,Old,
2025-01-31,Plant A,M01,Cutting,Morning,Liam,354,0.1,5,No,362,0.9875,0.014124293785310734,6000,3,New,
2025-01-31,Plant A,M02,Cutting,Morning,Sofia,309,0.5,3,No,338,0.9375,0.009708737864077669,6000,4,New,
2025-01-31,Plant A,M03,Assembly,Afternoon,Camille,219,2.0,6,No,294,0.75,0.0273972602739726,6000,11,Old,
2025-01-31,Plant A,M04,Packaging,Afternoon,Mia,303,1.1,5,No,354,0.8625,0.0165016501650165,6000,5,Mid-life,
2025-01-31,Plant A,M05,Packaging,Afternoon,Ethan,322,1.1,6,No,370,0.8625,0.018633540372670808,6000,6,Mid-life,
2025-01-31,Plant B,M06,Cutting,Night,Lina,202,1.6,6,No,266,0.8,0.0297029702970297,4200,7,Mid-life,
2025-01-31,Plant B,M07,Assembly,Night,James,169,2.3,7,No,247,0.7125,0.04142011834319527,4200,12,Old,
2025-02-03,Plant A,M03,Assembly,Morning,Hugo,255,1.4,5,No,321,0.825,0.0196078431372549,6000,11,Old,
